index,synset,words,categories
0,n01440764,"tench, Tinca tinca",fish
1,n01443537,"goldfish, Carassius auratus",fish
2,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",shark
3,n01491361,"tiger shark, Galeocerdo cuvieri",shark
4,n01494475,"hammerhead, hammerhead shark",shark
5,n01496331,"electric ray, crampfish, numbfish, torpedo",fish
6,n01498041,stingray,fish
7,n01514668,cock,bird
8,n01514859,hen,bird
9,n01518878,"ostrich, Struthio camelus",bird
10,n01530575,"brambling, Fringilla montifringilla",bird
11,n01531178,"goldfinch, Carduelis carduelis",bird
12,n01532829,"house finch, linnet, Carpodacus mexicanus",bird
13,n01534433,"junco, snowbird",bird
14,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",bird
15,n01558993,"robin, American robin, Turdus migratorius",bird
16,n01560419,bulbul,bird
17,n01580077,jay,bird
18,n01582220,magpie,bird
19,n01592084,chickadee,bird
20,n01601694,"water ouzel, dipper",bird
21,n01608432,kite,bird
22,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",bird
23,n01616318,vulture,bird
24,n01622779,"great grey owl, great gray owl, Strix nebulosa",bird
25,n01629819,"European fire salamander, Salamandra salamandra",salamander
26,n01630670,"common newt, Triturus vulgaris",salamander
27,n01631663,eft,salamander
28,n01632458,"spotted salamander, Ambystoma maculatum",salamander
29,n01632777,"axolotl, mud puppy, Ambystoma mexicanum",salamander
30,n01641577,"bullfrog, Rana catesbeiana",frog
31,n01644373,"tree frog, tree-frog",frog
32,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",frog
33,n01664065,"loggerhead, loggerhead turtle, Caretta caretta",turtle
34,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",turtle
35,n01667114,mud turtle,turtle
36,n01667778,terrapin,turtle
37,n01669191,"box turtle, box tortoise",turtle
38,n01675722,banded gecko,lizard
39,n01677366,"common iguana, iguana, Iguana iguana",lizard
40,n01682714,"American chameleon, anole, Anolis carolinensis",lizard
41,n01685808,"whiptail, whiptail lizard",lizard
42,n01687978,agama,lizard
43,n01688243,"frilled lizard, Chlamydosaurus kingi",lizard
44,n01689811,alligator lizard,lizard
45,n01692333,"Gila monster, Heloderma suspectum",lizard
46,n01693334,"green lizard, Lacerta viridis",lizard
47,n01694178,"African chameleon, Chamaeleo chamaeleon",lizard
48,n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",lizard
49,n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus",crocodile
50,n01698640,"American alligator, Alligator mississipiensis",crocodile
51,n01704323,triceratops,dinosaur
52,n01728572,"thunder snake, worm snake, Carphophis amoenus",snake
53,n01728920,"ringneck snake, ring-necked snake, ring snake",snake
54,n01729322,"hognose snake, puff adder, sand viper",snake
55,n01729977,"green snake, grass snake",snake
56,n01734418,"king snake, kingsnake",snake
57,n01735189,"garter snake, grass snake",snake
58,n01737021,water snake,snake
59,n01739381,vine snake,snake
60,n01740131,"night snake, Hypsiglena torquata",snake
61,n01742172,"boa constrictor, Constrictor constrictor",snake
62,n01744401,"rock python, rock snake, Python sebae",snake
63,n01748264,"Indian cobra, Naja naja",snake
64,n01749939,green mamba,snake
65,n01751748,sea snake,fish
66,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",snake
67,n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus",snake
68,n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes",snake
69,n01768244,trilobite,trilobite
70,n01770081,"harvestman, daddy longlegs, Phalangium opilio",arachnid
71,n01770393,scorpion,arachnid
72,n01773157,"black and gold garden spider, Argiope aurantia",arachnid
73,n01773549,"barn spider, Araneus cavaticus",arachnid
74,n01773797,"garden spider, Aranea diademata",arachnid
75,n01774384,"black widow, Latrodectus mactans",arachnid
76,n01774750,tarantula,arachnid
77,n01775062,"wolf spider, hunting spider",arachnid
78,n01776313,tick,bug
79,n01784675,centipede,bug
80,n01795545,black grouse,bird
81,n01796340,ptarmigan,bird
82,n01797886,"ruffed grouse, partridge, Bonasa umbellus",bird
83,n01798484,"prairie chicken, prairie grouse, prairie fowl",bird
84,n01806143,peacock,bird
85,n01806567,quail,bird
86,n01807496,partridge,bird
87,n01817953,"African grey, African gray, Psittacus erithacus",bird
88,n01818515,macaw,bird
89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",bird
90,n01820546,lorikeet,bird
91,n01824575,coucal,bird
92,n01828970,bee eater,bird
93,n01829413,hornbill,bird
94,n01833805,hummingbird,bird
95,n01843065,jacamar,bird
96,n01843383,toucan,bird
97,n01847000,drake,bird
98,n01855032,"red-breasted merganser, Mergus serrator",bird
99,n01855672,goose,bird
100,n01860187,"black swan, Cygnus atratus",bird
101,n01871265,tusker,ungulate
102,n01872401,"echidna, spiny anteater, anteater",monotreme
103,n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",monotreme
104,n01877812,"wallaby, brush kangaroo",marsupial
105,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",marsupial
106,n01883070,wombat,marsupial
107,n01910747,jellyfish,fish
108,n01914609,"sea anemone, anemone",coral
109,n01917289,brain coral,coral
110,n01924916,"flatworm, platyhelminth",bug
111,n01930112,"nematode, nematode worm, roundworm",bug
112,n01943899,conch,mollusk
113,n01944390,snail,mollusk
114,n01945685,slug,mollusk
115,n01950731,"sea slug, nudibranch",mollusk
116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",mollusk
117,n01968897,"chambered nautilus, pearly nautilus, nautilus",mollusk
118,n01978287,"Dungeness crab, Cancer magister",crustacean
119,n01978455,"rock crab, Cancer irroratus",crustacean
120,n01980166,fiddler crab,crustacean
121,n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",crustacean
122,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",crustacean
123,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",crustacean
124,n01985128,"crayfish, crawfish, crawdad, crawdaddy",crustacean
125,n01986214,hermit crab,crustacean
126,n01990800,isopod,crustacean
127,n02002556,"white stork, Ciconia ciconia",bird
128,n02002724,"black stork, Ciconia nigra",bird
129,n02006656,spoonbill,bird
130,n02007558,flamingo,bird
131,n02009229,"little blue heron, Egretta caerulea",bird
132,n02009912,"American egret, great white heron, Egretta albus",bird
133,n02011460,bittern,bird
134,n02012849,crane,bird
135,n02013706,"limpkin, Aramus pictus",bird
136,n02017213,"European gallinule, Porphyrio porphyrio",bird
137,n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana",bird
138,n02018795,bustard,bird
139,n02025239,"ruddy turnstone, Arenaria interpres",bird
140,n02027492,"red-backed sandpiper, dunlin, Erolia alpina",bird
141,n02028035,"redshank, Tringa totanus",bird
142,n02033041,dowitcher,bird
143,n02037110,"oystercatcher, oyster catcher",bird
144,n02051845,pelican,bird
145,n02056570,"king penguin, Aptenodytes patagonica",bird
146,n02058221,"albatross, mollymawk",bird
147,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",marine mammals
148,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",marine mammals
149,n02074367,"dugong, Dugong dugon",marine mammals
150,n02077923,sea lion,marine mammals
151,n02085620,Chihuahua,dog
152,n02085782,Japanese spaniel,dog
153,n02085936,"Maltese dog, Maltese terrier, Maltese",dog
154,n02086079,"Pekinese, Pekingese, Peke",dog
155,n02086240,Shih-Tzu,dog
156,n02086646,Blenheim spaniel,dog
157,n02086910,papillon,dog
158,n02087046,toy terrier,dog
159,n02087394,Rhodesian ridgeback,dog
160,n02088094,"Afghan hound, Afghan",dog
161,n02088238,"basset, basset hound",dog
162,n02088364,beagle,dog
163,n02088466,"bloodhound, sleuthhound",dog
164,n02088632,bluetick,dog
165,n02089078,black-and-tan coonhound,dog
166,n02089867,"Walker hound, Walker foxhound",dog
167,n02089973,English foxhound,dog
168,n02090379,redbone,dog
169,n02090622,"borzoi, Russian wolfhound",dog
170,n02090721,Irish wolfhound,dog
171,n02091032,Italian greyhound,dog
172,n02091134,whippet,dog
173,n02091244,"Ibizan hound, Ibizan Podenco",dog
174,n02091467,"Norwegian elkhound, elkhound",dog
175,n02091635,"otterhound, otter hound",dog
176,n02091831,"Saluki, gazelle hound",dog
177,n02092002,"Scottish deerhound, deerhound",dog
178,n02092339,Weimaraner,dog
179,n02093256,"Staffordshire bullterrier, Staffordshire bull terrier",dog
180,n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",dog
181,n02093647,Bedlington terrier,dog
182,n02093754,Border terrier,dog
183,n02093859,Kerry blue terrier,dog
184,n02093991,Irish terrier,dog
185,n02094114,Norfolk terrier,dog
186,n02094258,Norwich terrier,dog
187,n02094433,Yorkshire terrier,dog
188,n02095314,wire-haired fox terrier,dog
189,n02095570,Lakeland terrier,dog
190,n02095889,"Sealyham terrier, Sealyham",dog
191,n02096051,"Airedale, Airedale terrier",dog
192,n02096177,"cairn, cairn terrier",dog
193,n02096294,Australian terrier,dog
194,n02096437,"Dandie Dinmont, Dandie Dinmont terrier",dog
195,n02096585,"Boston bull, Boston terrier",dog
196,n02097047,miniature schnauzer,dog
197,n02097130,giant schnauzer,dog
198,n02097209,standard schnauzer,dog
199,n02097298,"Scotch terrier, Scottish terrier, Scottie",dog
200,n02097474,"Tibetan terrier, chrysanthemum dog",dog
201,n02097658,"silky terrier, Sydney silky",dog
202,n02098105,soft-coated wheaten terrier,dog
203,n02098286,West Highland white terrier,dog
204,n02098413,"Lhasa, Lhasa apso",dog
205,n02099267,flat-coated retriever,dog
206,n02099429,curly-coated retriever,dog
207,n02099601,golden retriever,dog
208,n02099712,Labrador retriever,dog
209,n02099849,Chesapeake Bay retriever,dog
210,n02100236,German short-haired pointer,dog
211,n02100583,"vizsla, Hungarian pointer",dog
212,n02100735,English setter,dog
213,n02100877,"Irish setter, red setter",dog
214,n02101006,Gordon setter,dog
215,n02101388,Brittany spaniel,dog
216,n02101556,"clumber, clumber spaniel",dog
217,n02102040,"English springer, English springer spaniel",dog
218,n02102177,Welsh springer spaniel,dog
219,n02102318,"cocker spaniel, English cocker spaniel, cocker",dog
220,n02102480,Sussex spaniel,dog
221,n02102973,Irish water spaniel,dog
222,n02104029,kuvasz,dog
223,n02104365,schipperke,dog
224,n02105056,groenendael,dog
225,n02105162,malinois,dog
226,n02105251,briard,dog
227,n02105412,kelpie,dog
228,n02105505,komondor,dog
229,n02105641,"Old English sheepdog, bobtail",dog
230,n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland",dog
231,n02106030,collie,dog
232,n02106166,Border collie,dog
233,n02106382,"Bouvier des Flandres, Bouviers des Flandres",dog
234,n02106550,Rottweiler,dog
235,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",dog
236,n02107142,"Doberman, Doberman pinscher",dog
237,n02107312,miniature pinscher,dog
238,n02107574,Greater Swiss Mountain dog,dog
239,n02107683,Bernese mountain dog,dog
240,n02107908,Appenzeller,dog
241,n02108000,EntleBucher,dog
242,n02108089,boxer,dog
243,n02108422,bull mastiff,dog
244,n02108551,Tibetan mastiff,dog
245,n02108915,French bulldog,dog
246,n02109047,Great Dane,dog
247,n02109525,"Saint Bernard, St Bernard",dog
248,n02109961,"Eskimo dog, husky",dog
249,n02110063,"malamute, malemute, Alaskan malamute",dog
250,n02110185,Siberian husky,dog
251,n02110341,"dalmatian, coach dog, carriage dog",dog
252,n02110627,"affenpinscher, monkey pinscher, monkey dog",dog
253,n02110806,basenji,dog
254,n02110958,"pug, pug-dog",dog
255,n02111129,Leonberg,dog
256,n02111277,"Newfoundland, Newfoundland dog",dog
257,n02111500,Great Pyrenees,dog
258,n02111889,"Samoyed, Samoyede",dog
259,n02112018,Pomeranian,dog
260,n02112137,"chow, chow chow",dog
261,n02112350,keeshond,dog
262,n02112706,Brabancon griffon,dog
263,n02113023,"Pembroke, Pembroke Welsh corgi",dog
264,n02113186,"Cardigan, Cardigan Welsh corgi",dog
265,n02113624,toy poodle,dog
266,n02113712,miniature poodle,dog
267,n02113799,standard poodle,dog
268,n02113978,Mexican hairless,dog
