,Biological Group,Class,Common Name,Relation to Imagenet,Notes,Annotator
0,Actinopterygii,Abudefduf saxatilis,Sergeant major,not in imagenet,,NE
1,Actinopterygii,Abudefduf sordidus,Blackspot sergeant,not in imagenet,,NE
2,Actinopterygii,Acanthurus coeruleus,Blue tang,not in imagenet,,NE
3,Actinopterygii,Acanthurus triostegus,"Convict tang, convict surgeonfish, manini",not in imagenet,,NE
4,Actinopterygii,Ameiurus melas,"Black bullhead, black bullhead catfish",not in imagenet,,NE
5,Actinopterygii,Amia calva,"Bowfin, mudfish, mud pike, dog fish, griddle, grinnel, swamp trout, choupique",not in imagenet,! Fish in Imagenet,AE
6,Actinopterygii,Anguilla rostrata,American Eel,parent in imagenet,parent: eel,AE
7,Actinopterygii,Caranx melampygus,"Bluefin Trevally, bluefin jack, bluefin kingfish, bluefinned crevalle, blue ulua, omilu, spotted trevally",not in imagenet,! Fish in Imagenet,AE
8,Actinopterygii,Carassius auratus,Goldfish,in imagenet,,AE
9,Actinopterygii,Chaetodon auriga,Threadfin butterflyfish,relative in imagenet,relative: rock beauty,AE
10,Actinopterygii,Chaetodon capistratus,Foureye butterflyfish,relative in imagenet,relative: rock beauty,AE
11,Actinopterygii,Chaetodon lunula,"Raccoon butterflyfish, crescent-masked butterflyfish, lunule butterflyfish, halfmoon butterflyfish, moon butterflyfish, raccoon butterfly, raccoon, raccoon coralfish, redstriped butterflyfish",relative in imagenet,relative: rock beauty,AE
12,Actinopterygii,Cyprinus carpio,"Common carp, European carp",relative in imagenet,"relative: goldfish, tench",AE
13,Actinopterygii,Cyprinus carpio haematopterus,Amur carp,relative in imagenet,"relative: goldfish, tench",AE
14,Actinopterygii,Diodon holocanthus,"Long-spine porcupinefish, freckled porcupinefish",not in imagenet,! Fish in Imagent,AE
15,Actinopterygii,Diodon hystrix,"Spot-fin porcupinefish, spotted porcupinefish, black-spotted porcupinefish, porcupinfish",not in imagenet,! Fish in Imagent,AE
16,Actinopterygii,Esox lucius,"Northern pike, pike, jackfish",not in imagenet,! Fish in Imagent,AE
17,Actinopterygii,Fistularia commersonii,"Bluespotted cornetfish, smooth cornetfish, smooth flutemouth",not in imagenet,! Fish in Imagent,AE
18,Actinopterygii,Gambusia affinis,"Western mosquitofish, mosquitofish, gambezi",not in imagenet,! Fish in Imagent,AE
19,Actinopterygii,Gambusia holbrooki,Eastern mosquitofish,not in imagenet,! Fish in Imagent,AE
20,Actinopterygii,Gasterosteus aculeatus,Three-spined stickleback,not in imagenet,! Fish in Imagent,AE
21,Actinopterygii,Gobiesox maeandricus,Northern clingfish,not in imagenet,! Fish in Imagent,AE
22,Actinopterygii,Haemulon sciurus,Blue striped grunt,not in imagenet,! Fish in Imagent,AE
23,Actinopterygii,Ictalurus punctatus,Channel catfish,not in imagenet,! Fish in Imagent,AE
24,Actinopterygii,Lepisosteus oculatus,Spotted gar,parent in imagenet,parent: gar,AE
25,Actinopterygii,Lepisosteus osseus,"Longnose gar, needlenose gar, longnose garpike, billy gar",parent in imagenet,parent: gar,AE
